ProjectId,Program,Country,CountryFundingBody,FundingBody,LeadInstitution,StartDate,EndDate,FundingAmount,FundingCurrency
CIM/2014/027,Crops,Australia,,ACIAR,University of Queensland,JUN 2014,MAY 2015,173455,AUD
CIM/2013/005,Crops,Australia,,ACIAR,University of Queensland,JUN 2014,JUN 2018,717285,AUD
SMCN/2012/069,Soil and Land Management,Australia,,ACIAR,Murdoch University,JUN 2014,DEC 2019,1628163,AUD
HORT/2012/019,Horticulture,Australia,,ACIAR,Queensland Department of Primary Industries,JUN 2014,JUN 2018,973822,AUD
CSE/2013/008,Crops,Australia,,ACIAR,International Maize and Wheat Improvement Center,MAY 2014,OCT 2019,19320002,AUD
CSE/2011/077,Crops,Australia,,ACIAR,International Maize and Wheat Improvement Center,MAY 2014,JUN 2021,9699770,AUD
LPS/2014/022,Livestock Systems,Australia,,ACIAR,University of Queensland,MAY 2014,DEC 2016,200000,AUD
SMCN/2012/029,Soil and Land Management,Australia,,ACIAR,Queensland Department of Primary Industries,MAY 2014,JAN 2019,959460,AUD
FIS/2012/100,Fisheries,Australia,,ACIAR,"Department of Primary Industries, Australia",APR 2014,SEP 2019,1238683,AUD
FIS/2013/015,Fisheries,Australia,,ACIAR,,MAR 2014,SEP 2018,709132,AUD
FSC/2012/023,Global,Australia,,ACIAR,University of Sydney,FEB 2014,MAR 2019,2599951,AUD
LPS/2012/062,Livestock Systems,Australia,,ACIAR,University of Tasmania,FEB 2014,APR 2018,1049989,AUD
FST/2012/091,Forestry,Australia,,ACIAR,University of the Sunshine Coast,FEB 2014,DEC 2019,1500279,AUD
HORT/2012/113,Horticulture,Australia,,ACIAR,Department of Agriculture,FEB 2014,JAN 2019,654999,AUD
FIS/2012/101,Fisheries,Australia,,ACIAR,University of the Sunshine Coast,JAN 2014,SEP 2019,1673534,AUD
FIS/2010/100,Fisheries,Australia,,ACIAR,"Department of Primary Industries, Australia",JAN 2014,DEC 2018,1478582,AUD
AH/2012/021,Livestock Systems,Australia,,ACIAR,"International Center for Agricultural Research in the Dry Areas, Afghanistan",JAN 2014,DEC 2017,3811933,AUD
FIS/2010/055,Fisheries,Australia,,ACIAR,University of Tasmania,JAN 2014,AUG 2018,671464,AUD
HORT/2012/095,Horticulture,Australia,,ACIAR,Queensland Department of Primary Industries,DEC 2013,JUN 2018,868008,AUD
HORT/2012/098,Horticulture,Australia,,ACIAR,"Applied Horticultural Research, Australia",DEC 2013,AUG 2019,1264858,AUD
SMCN/2011/047,Soil and Land Management,Australia,,ACIAR,University of New England,DEC 2013,JAN 2019,2500000,AUD
CIM/2013/009,Crops,Australia,,ACIAR,University of Sydney,DEC 2013,OCT 2017,1291115,AUD
FIS/2010/097,Fisheries,Australia,,ACIAR,WorldFish Center,DEC 2013,NOV 2016,601845,AUD
FIS/2012/102,Fisheries,Australia,,ACIAR,CSIRO,NOV 2013,MAR 2018,1041952,AUD
FIS/2010/098,Fisheries,Australia,,ACIAR,University of the Sunshine Coast,OCT 2013,JUN 2018,1200001,AUD
FIS/2012/076,Fisheries,Australia,,ACIAR,Secretariat of the Pacific Community,OCT 2013,JUN 2018,1563715,AUD
HORT/2010/069,Horticulture,Australia,,ACIAR,"Plant Biosecurity Cooperative Research Centre, Australia",SEP 2013,MAR 2018,1359715,AUD
HORT/2012/003,Horticulture,Australia,,ACIAR,"Department of Primary Industries, Australia",SEP 2013,DEC 2017,1148905,AUD
FST/2011/057,Forestry,Australia,,ACIAR,University of Queensland,SEP 2013,JUN 2017,2145989,AUD
CIM/2013/011,Crops,Australia,,ACIAR,CSIRO,AUG 2013,JUN 2018,919999,AUD
FST/2012/041,Forestry,Australia,,ACIAR,University of Queensland,AUG 2013,DEC 2019,1660624,AUD
FIS/2010/101,Fisheries,Australia,,ACIAR,University of Sydney,JUL 2013,JUN 2017,1841457,AUD
AH/2011/054,Livestock Systems,Australia,,ACIAR,University of Queensland,JUN 2013,DEC 2017,2075005,AUD
FSC/2012/111,Global,Australia,,ACIAR,The World Vegetable Center,JUN 2013,DEC 2017,2619519,AUD
FSC/2013/006,Global,Australia,,ACIAR,Australian National University,JUN 2013,JUN 2017,3416443,AUD
FIS/2012/074,Fisheries,Australia,,ACIAR,WorldFish Center,JUN 2013,OCT 2017,4568734,AUD
SMCN/2010/083,Soil and Land Management,Australia,,ACIAR,University of New South Wales,JUN 2013,SEP 2020,2129516,AUD
FIS/2010/096,Fisheries,Australia,,ACIAR,Southern Cross University,JUN 2013,NOV 2017,1244605,AUD
FST/2012/040,Forestry,Australia,,ACIAR,Australian National University,MAY 2013,JUN 2018,1631988,AUD
FSC/2013/002,Soil and Land Management,Australia,,ACIAR,CSIRO,APR 2013,MAR 2014,163766,AUD
HORT/2012/002,Horticulture,Australia,,ACIAR,University of Sydney,APR 2013,JUN 2016,549725,AUD
FIS/2009/057,Fisheries,Australia,,ACIAR,James Cook University,APR 2013,JUN 2017,1154052,AUD
FST/2011/076,Forestry,Australia,,ACIAR,University of Adelaide,APR 2013,JUN 2018,2499999,AUD
LWR/2012/110,Water,Australia,,ACIAR,CSIRO,APR 2013,DEC 2014,229190,AUD
FIS/2010/042,Fisheries,Australia,,ACIAR,University of the Sunshine Coast,MAR 2013,MAR 2018,1747282,AUD
FSC/2012/047,Global,Australia,,ACIAR,International Maize and Wheat Improvement Center,MAR 2013,DEC 2019,5150955,AUD
HORT/2012/020,Horticulture,Australia,,ACIAR,NSW Department of Primary Industries,MAR 2013,OCT 2017,2346728,AUD
FST/2012/039,Forestry,Australia,,ACIAR,World Agroforestry Centre,JAN 2013,MAR 2017,1799804,AUD
FST/2012/042,Forestry,Australia,,ACIAR,,JAN 2013,JUN 2017,1276509,AUD
FST/2012/043,Forestry,Australia,,ACIAR,Griffith University,JAN 2013,DEC 2017,1440001,AUD
SMCN/2012/017,Soil and Land Management,Australia,,ACIAR,NSW Department of Primary Industries,NOV 2012,APR 2013,125000,AUD
FST/2011/003,Forestry,Australia,,ACIAR,Australian National University,OCT 2012,AUG 2017,1578820,AUD
CIM/2011/026,Crops,Australia,,ACIAR,International Maize and Wheat Improvement Center,OCT 2012,OCT 2018,6458924,AUD
LWR/2010/082,Water,Australia,,ACIAR,Western Sydney University,OCT 2012,JUN 2017,2685790,AUD
SMCN/2011/046,Soil and Land Management,Australia,,ACIAR,International Rice Research Institute,SEP 2012,DEC 2017,2590123,AUD
HORT/2011/053,Horticulture,Australia,,ACIAR,Queensland Department of Agriculture and Fisheries,SEP 2012,JUN 2015,684990,AUD
FIS/2011/052,Fisheries,Australia,,ACIAR,WorldFish Center,SEP 2012,DEC 2016,2068439,AUD
